Response	Type	Predictor	median	lower95	upper95	postprob	sig	sigCI	postprobcomp	significant
disper_braycurtis	SpeciesAverage	Raca	-0.912977720641641	-1.01083511223699	-0.814957657073847	1	TRUE	TRUE	0	TRUE
disper_braycurtis	SpeciesAverage	Rapi	-0.925768029247163	-1.08537508223737	-0.775190941556274	1	TRUE	TRUE	0	TRUE
disper_braycurtis	SpeciesAverage	Rhma	-0.974419332329213	-1.0893226073861	-0.856345798474253	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Anbo	-1.05148279217972	-1.10018043128329	-1.00447508066498	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Osse	-0.924281630841996	-0.979239761363277	-0.869450755792236	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Raca	-0.915368641498828	-0.96313629215186	-0.863171162274255	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rapi	-0.894129543886376	-0.969580779995843	-0.811610840457581	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rhma	-1.01780808859816	-1.07297000409971	-0.958204284218635	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Anbo	-1.99561672159415	-2.12787257049983	-1.86571895703964	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Osse	-1.92402831650264	-2.06901982102449	-1.77448508576541	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Raca	-1.56538668104401	-1.70227971726874	-1.43426465565697	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Rapi	-1.56629827523998	-1.78140854032011	-1.35594016323412	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Rhma	-1.79408680860585	-1.95404897514626	-1.63882347501821	1	TRUE	TRUE	0	TRUE
dist_braycurtis	SpeciesAverage	Anbo	-0.257498166768147	-0.57525011883749	0.0553782821373195	0.9429	FALSE	FALSE	0.0571	FALSE
dist_braycurtis	SpeciesAverage	Osse	0.13130556769334	-0.253197466403823	0.516850796071215	0.7497	FALSE	FALSE	0.2503	FALSE
dist_braycurtis	SpeciesAverage	Raca	0.329673286150398	-0.0387739307121303	0.667481227430944	0.9659	TRUE	FALSE	0.0341	FALSE
dist_braycurtis	SpeciesAverage	Rapi	-0.148865306029189	-0.70380521058758	0.416655239465351	0.697	FALSE	FALSE	0.303	FALSE
dist_braycurtis	SpeciesAverage	Rhma	-0.04216205182804	-0.423987992543652	0.364429499437618	0.5847	FALSE	FALSE	0.4153	FALSE
dist_unweighted_unifrac	SpeciesAverage	Anbo	-0.0920849102182211	-0.249661610878207	0.076556941798733	0.8654	FALSE	FALSE	0.1346	FALSE
dist_unweighted_unifrac	SpeciesAverage	Osse	0.437987223703596	0.230510727893613	0.65264789799473	1	TRUE	TRUE	0	TRUE
dist_unweighted_unifrac	SpeciesAverage	Raca	0.373059746918845	0.190872817539449	0.555440327245155	0.9999	TRUE	TRUE	9.9999999999989e-05	TRUE
dist_unweighted_unifrac	SpeciesAverage	Rapi	0.196366504383863	-0.0916218665356808	0.503169392478609	0.9044	FALSE	FALSE	0.0956	FALSE
dist_unweighted_unifrac	SpeciesAverage	Rhma	-0.175538921454838	-0.378512051216351	0.0483390414259018	0.9449	FALSE	FALSE	0.0551	FALSE
dist_weighted_unifrac	SpeciesAverage	Anbo	-1.15921389942515	-1.44957484712806	-0.867691236604999	1	TRUE	TRUE	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Osse	-1.15005511387564	-1.51192760028336	-0.800593942438209	1	TRUE	TRUE	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Raca	-0.658495627256226	-0.965027956241981	-0.34779194771314	1	TRUE	TRUE	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Rapi	-1.093362758096	-1.64418570063068	-0.618828672843888	0.9999	TRUE	TRUE	9.9999999999989e-05	TRUE
dist_weighted_unifrac	SpeciesAverage	Rhma	-1.01962414445773	-1.36981776004984	-0.650538441270069	1	TRUE	TRUE	0	TRUE
inhibRich	SpeciesAverage	Anbo	10.7117976997669	9.47718075138881	11.9671326058983	1	TRUE	TRUE	0	TRUE
inhibRich	SpeciesAverage	Osse	16.051080305873	14.3042843514443	17.6704392326987	1	TRUE	TRUE	0	TRUE
inhibRich	SpeciesAverage	Raca	9.18760739731952	7.87219979093048	10.553849128005	1	TRUE	TRUE	0	TRUE
inhibRich	SpeciesAverage	Rapi	12.2796749788312	10.0331718430795	14.4412776812453	1	TRUE	TRUE	0	TRUE
inhibRich	SpeciesAverage	Rhma	12.2392199007874	10.6633799515374	13.9369513979577	1	TRUE	TRUE	0	TRUE
observed_otus	SpeciesAverage	Anbo	4.27274806287095	4.14757357065924	4.40405311973787	1	TRUE	TRUE	0	TRUE
observed_otus	SpeciesAverage	Osse	4.26454201739749	4.12564474518064	4.41429271648558	1	TRUE	TRUE	0	TRUE
observed_otus	SpeciesAverage	Raca	4.6792994296461	4.54793333285578	4.81673364266351	1	TRUE	TRUE	0	TRUE
observed_otus	SpeciesAverage	Rapi	4.28590862039768	4.07587174712092	4.49833570446	1	TRUE	TRUE	0	TRUE
observed_otus	SpeciesAverage	Rhma	4.92619818441513	4.76365736234246	5.07998977866338	1	TRUE	TRUE	0	TRUE
percInhib	SpeciesAverage	Anbo	-0.0800378240771711	-0.454105271187792	0.27297728542162	0.6744	FALSE	FALSE	0.3256	FALSE
percInhib	SpeciesAverage	Osse	0.73304845942516	0.336161937375649	1.16609267162786	0.9998	TRUE	TRUE	0.000199999999999978	TRUE
percInhib	SpeciesAverage	Raca	-1.52435910980262	-1.89288101282393	-1.11642963651159	1	TRUE	TRUE	0	TRUE
percInhib	SpeciesAverage	Rapi	-0.32462168862703	-0.899201470497309	0.273202316241483	0.8638	FALSE	FALSE	0.1362	FALSE
percInhib	SpeciesAverage	Rhma	-1.65686551485598	-2.13117156053447	-1.20085031540861	1	TRUE	TRUE	0	TRUE
shannon	SpeciesAverage	Anbo	3.67647425267864	3.37964616872068	3.9668397639613	1	TRUE	TRUE	0	TRUE
shannon	SpeciesAverage	Osse	3.19092956664957	2.8384354592135	3.51466772171567	1	TRUE	TRUE	0	TRUE
shannon	SpeciesAverage	Raca	3.93274725837027	3.64004224115673	4.24538343086731	1	TRUE	TRUE	0	TRUE
shannon	SpeciesAverage	Rapi	3.35435058455355	2.88842210209328	3.82697557540774	1	TRUE	TRUE	0	TRUE
shannon	SpeciesAverage	Rhma	4.39388889798698	4.03675972147756	4.74505320087932	1	TRUE	TRUE	0	TRUE
disper_braycurtis	ExperimentalEffects	diffConTreat	0.0654076932958209	-0.0138305993496982	0.143560483461848	0.9449	FALSE	FALSE	0.0551	FALSE
disper_braycurtis	ExperimentalEffects	effExposure	0.049065067140267	-0.02161785741596	0.120451395515365	0.9124	FALSE	FALSE	0.0876	FALSE
disper_braycurtis	ExperimentalEffects	effLiquid	-0.0214051844219639	-0.0940765353141508	0.0436324056421883	0.7291	FALSE	FALSE	0.2709	FALSE
disper_braycurtis	ExperimentalEffects	effLoad	-0.0111118187573252	-0.037487117890808	0.0143918979961952	0.7981	FALSE	FALSE	0.2019	FALSE
disper_braycurtis	ExperimentalEffects	effPABD	0.013822913343338	-0.0815190246652224	0.107387677395502	0.6186	FALSE	FALSE	0.3814	FALSE
disper_braycurtis	ExperimentalEffects	speciesMean	-1.00019090332248	-1.06195398805829	-0.935606412118658	1	TRUE	TRUE	0	TRUE
disper_unweighted_unifrac	ExperimentalEffects	diffConTreat	0.0232078769560392	-0.018442702983736	0.0597205992568904	0.8743	FALSE	FALSE	0.1257	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effExposure	0.0321696750579809	-0.00128831518872999	0.0674139456447704	0.9694	TRUE	FALSE	0.0306	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effLiquid	0.0229323640165478	-0.0192657783416234	0.0625323757843791	0.867	FALSE	FALSE	0.133	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effLoad	-0.00190147127900013	-0.0166395630133867	0.0136016589422356	0.592	FALSE	FALSE	0.408	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effPABD	-0.0143030088626287	-0.072214826823543	0.0410127946866305	0.6881	FALSE	FALSE	0.3119	FALSE
disper_unweighted_unifrac	ExperimentalEffects	speciesMean	-0.960569148914898	-0.992010019536089	-0.9278044904706	1	TRUE	TRUE	0	TRUE
disper_weighted_unifrac	ExperimentalEffects	diffConTreat	0.039284606629658	-0.0670768115713327	0.146679023683339	0.7658	FALSE	FALSE	0.2342	FALSE
disper_weighted_unifrac	ExperimentalEffects	effExposure	0.0324835594462363	-0.0602144388459522	0.122683877200276	0.7663	FALSE	FALSE	0.2337	FALSE
disper_weighted_unifrac	ExperimentalEffects	effLiquid	0.0266192824401692	-0.0856044939221722	0.140830303355451	0.6798	FALSE	FALSE	0.3202	FALSE
disper_weighted_unifrac	ExperimentalEffects	effLoad	0.0230183223937158	-0.0201501088874087	0.0634196174148904	0.8558	FALSE	FALSE	0.1442	FALSE
disper_weighted_unifrac	ExperimentalEffects	effPABD	-0.00338345162605342	-0.167404906615374	0.142770135578736	0.5175	FALSE	FALSE	0.4825	FALSE
disper_weighted_unifrac	ExperimentalEffects	speciesMean	-1.76921522366936	-1.85047048547037	-1.67777657461435	1	TRUE	TRUE	0	TRUE
dist_braycurtis	ExperimentalEffects	diffConTreat	0.117882239271319	-0.142981042280116	0.38595429844609	0.8175	FALSE	FALSE	0.1825	FALSE
dist_braycurtis	ExperimentalEffects	effExposure	0.0119262652544342	-0.208077835650604	0.233049814287359	0.5402	FALSE	FALSE	0.4598	FALSE
dist_braycurtis	ExperimentalEffects	effLiquid	-0.227996630147615	-0.460489558887709	0.0213899887350547	0.9618	TRUE	FALSE	0.0382	FALSE
dist_braycurtis	ExperimentalEffects	effLoad	-0.043062581998084	-0.136850610057629	0.0412274131660957	0.8339	FALSE	FALSE	0.1661	FALSE
dist_braycurtis	ExperimentalEffects	effPABD	-0.0124898202762011	-0.330694507511982	0.326568253165273	0.5266	FALSE	FALSE	0.4734	FALSE
dist_braycurtis	ExperimentalEffects	speciesMean	0.00314200505082082	-0.219819187075597	0.217690423966659	0.5114	FALSE	FALSE	0.4886	FALSE
dist_unweighted_unifrac	ExperimentalEffects	diffConTreat	0.0382547055015394	-0.0909225576466993	0.173088444276631	0.719	FALSE	FALSE	0.281	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effExposure	0.0615190108163182	-0.0368263525364495	0.165377959829692	0.8836	FALSE	FALSE	0.1164	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effLiquid	-0.00228308638584185	-0.15382003673216	0.145485372771874	0.5124	FALSE	FALSE	0.4876	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effLoad	0.00877158356781571	-0.0426096966272277	0.0607463150528307	0.6314	FALSE	FALSE	0.3686	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effPABD	-0.0408940852777254	-0.234796869797759	0.160779522133532	0.655	FALSE	FALSE	0.345	FALSE
dist_unweighted_unifrac	ExperimentalEffects	speciesMean	0.147396374308742	0.0373926392310224	0.2638855220027	0.9937	TRUE	TRUE	0.00629999999999997	TRUE
dist_weighted_unifrac	ExperimentalEffects	diffConTreat	0.139711071722937	-0.0918891479247708	0.381382836585638	0.879	FALSE	FALSE	0.121	FALSE
dist_weighted_unifrac	ExperimentalEffects	effExposure	0.00361797197661781	-0.216439712473623	0.206103720777528	0.5111	FALSE	FALSE	0.4889	FALSE
dist_weighted_unifrac	ExperimentalEffects	effLiquid	-0.108236023750281	-0.324828973138277	0.101391868879458	0.833	FALSE	FALSE	0.167	FALSE
dist_weighted_unifrac	ExperimentalEffects	effLoad	-0.028018750371176	-0.104044978303106	0.0467254909123615	0.7696	FALSE	FALSE	0.2304	FALSE
dist_weighted_unifrac	ExperimentalEffects	effPABD	-0.00858368935962084	-0.284993510894178	0.270960900020971	0.5241	FALSE	FALSE	0.4759	FALSE
dist_weighted_unifrac	ExperimentalEffects	speciesMean	-1.0185291489178	-1.21846105422453	-0.814508596693027	1	TRUE	TRUE	0	TRUE
inhibRich	ExperimentalEffects	diffConTreat	-0.424878143278818	-1.56746249250695	0.62784367844679	0.7854	FALSE	FALSE	0.2146	FALSE
inhibRich	ExperimentalEffects	effExposure	-0.451048798184617	-1.32265326059841	0.469569260610204	0.8392	FALSE	FALSE	0.1608	FALSE
inhibRich	ExperimentalEffects	effLiquid	0.603778431109408	-0.650675749214599	1.86752175065642	0.825	FALSE	FALSE	0.175	FALSE
inhibRich	ExperimentalEffects	effLoad	-0.322932287149425	-0.674491979420311	0.0537561138677339	0.9483	FALSE	FALSE	0.0517	FALSE
inhibRich	ExperimentalEffects	effPABD	0.124059969323146	-1.44391611861488	1.66826105000321	0.5602	FALSE	FALSE	0.4398	FALSE
inhibRich	ExperimentalEffects	speciesMean	12.0943942918121	11.1803983999147	12.9885377790942	1	TRUE	TRUE	0	TRUE
observed_otus	ExperimentalEffects	diffConTreat	-0.0386760215541611	-0.13874123579918	0.0720625432182462	0.7617	FALSE	FALSE	0.2383	FALSE
observed_otus	ExperimentalEffects	effExposure	-0.114328824792588	-0.208188847831782	-0.0181684906443271	0.9889	TRUE	TRUE	0.0111	TRUE
observed_otus	ExperimentalEffects	effLiquid	-0.134901975833685	-0.237338660028839	-0.0295895660037868	0.9952	TRUE	TRUE	0.00480000000000003	TRUE
observed_otus	ExperimentalEffects	effLoad	-0.0264402505860419	-0.0659883245904986	0.0130280430213587	0.9059	FALSE	FALSE	0.0941	FALSE
observed_otus	ExperimentalEffects	effPABD	0.115386346948007	-0.0294687446282465	0.268210226598573	0.9379	FALSE	FALSE	0.0621	FALSE
observed_otus	ExperimentalEffects	speciesMean	4.48594929299711	4.39752999613425	4.5697722327279	1	TRUE	TRUE	0	TRUE
percInhib	ExperimentalEffects	diffConTreat	0.0773588380725183	-0.221689216474664	0.386265917626789	0.693	FALSE	FALSE	0.307	FALSE
percInhib	ExperimentalEffects	effExposure	0.180918042820113	-0.0863501546045504	0.454029581635757	0.905	FALSE	FALSE	0.095	FALSE
percInhib	ExperimentalEffects	effLiquid	0.177977349517664	-0.101685082393824	0.45906598364753	0.8914	FALSE	FALSE	0.1086	FALSE
percInhib	ExperimentalEffects	effLoad	0.0211396179414065	-0.0851006552084391	0.122606016492995	0.6562	FALSE	FALSE	0.3438	FALSE
percInhib	ExperimentalEffects	effPABD	0.344045142540297	-0.0460667695897606	0.711177466914232	0.9566	TRUE	FALSE	0.0434	FALSE
percInhib	ExperimentalEffects	speciesMean	-0.570223060327544	-0.813275619094367	-0.323129496649886	1	TRUE	TRUE	0	TRUE
shannon	ExperimentalEffects	diffConTreat	-0.106834097061839	-0.345283921044743	0.135701678824429	0.8006	FALSE	FALSE	0.1994	FALSE
shannon	ExperimentalEffects	effExposure	-0.29533466489178	-0.505123684376697	-0.0873456414923069	0.9966	TRUE	TRUE	0.00339999999999996	TRUE
shannon	ExperimentalEffects	effLiquid	0.00911036192223153	-0.245126284052435	0.263196204156532	0.5281	FALSE	FALSE	0.4719	FALSE
shannon	ExperimentalEffects	effLoad	-0.0744553700189662	-0.172894931775023	0.0187021748900478	0.9352	FALSE	FALSE	0.0648	FALSE
shannon	ExperimentalEffects	effPABD	-0.020224044595578	-0.378587948676289	0.322588849263344	0.542	FALSE	FALSE	0.458	FALSE
shannon	ExperimentalEffects	speciesMean	3.71011970754297	3.5236266589586	3.91307101515846	1	TRUE	TRUE	0	TRUE
