Response	Type	Predictor	median	lower95	upper95	postprob	postprobcomp	significant
dist_unweighted_unifrac	Time	timeRaca	-0.0199651448538508	-0.0447273975248458	0.00368878661568467	0.9463	0.0537	FALSE
dist_unweighted_unifrac	Time	timeRapi	-0.0110117309250452	-0.0476592107703432	0.0255547679756021	0.7197	0.2803	FALSE
dist_unweighted_unifrac	Time	timeRhma	-0.0335000516668196	-0.0586837143884792	-0.00768125501097661	0.9955	0.00449999999999995	TRUE
dist_weighted_unifrac	Time	timeAnbo	0.0180867528186638	-0.00641756551869865	0.0440249864912701	0.9177	0.0823	FALSE
dist_weighted_unifrac	Time	timeMean	0.0115399488603103	-0.0111972720100211	0.033496105208434	0.8397	0.1603	FALSE
dist_weighted_unifrac	Time	timeOsse	0.0221222673964968	-0.0106364678016175	0.0565684600403325	0.8951	0.1049	FALSE
dist_weighted_unifrac	Time	timeRaca	0.0125807583545221	-0.0202312690602877	0.0451357607529408	0.7712	0.2288	FALSE
dist_weighted_unifrac	Time	timeRapi	0.00407735053794997	-0.0503013754992239	0.0595910485597308	0.5601	0.4399	FALSE
dist_weighted_unifrac	Time	timeRhma	0.00160141824084611	-0.0331581669012012	0.0367682535146905	0.5348	0.4652	FALSE
inhibRich	Time	timeAnbo	-0.246259203343455	-0.376828609528141	-0.119368037114796	1	0	TRUE
inhibRich	Time	timeMean	-0.142545234202222	-0.256485547487726	-0.030639232370696	0.9923	0.00770000000000004	TRUE
inhibRich	Time	timeOsse	-0.343056608643971	-0.513387331679142	-0.162473954158066	0.9998	0.000199999999999978	TRUE
inhibRich	Time	timeRaca	0.24969715944365	0.0837407429805904	0.413908657532406	0.9989	0.00109999999999999	TRUE
inhibRich	Time	timeRapi	-0.213715143946237	-0.445271056861728	0.0402829828778189	0.9563	0.0437	FALSE
inhibRich	Time	timeRhma	-0.161783447363069	-0.349556242169291	0.0154051460777362	0.9577	0.0423	FALSE
observed_otus	Time	timeAnbo	0.0101441700725316	-0.00239979553241668	0.0227100047147824	0.9439	0.0561	FALSE
observed_otus	Time	timeMean	0.024059518240085	0.0147781365165704	0.0337885875765635	1	0	TRUE
observed_otus	Time	timeOsse	0.0560993984356683	0.0419141392640354	0.0706277828350749	1	0	TRUE
observed_otus	Time	timeRaca	0.0212766282706982	0.00720315570083346	0.03515058094966	0.9981	0.00190000000000001	TRUE
observed_otus	Time	timeRapi	0.0232073295100626	0.0018111249398819	0.0434476935248774	0.9848	0.0152	TRUE
observed_otus	Time	timeRhma	0.00945963754711074	-0.0066707184784395	0.0240602867841716	0.884	0.116	FALSE
percInhib	Time	timeAnbo	-0.0470349049467584	-0.0789391194153654	-0.0143573919661949	0.9981	0.00190000000000001	TRUE
percInhib	Time	timeMean	-0.0313763374448561	-0.0591994553483742	-0.00529600540337898	0.9878	0.0122	TRUE
percInhib	Time	timeOsse	-0.179762317376295	-0.222947340702776	-0.134797274741446	1	0	TRUE
percInhib	Time	timeRaca	0.0591085894918714	0.0219965784167073	0.0982219465928975	0.9991	0.000900000000000012	TRUE
percInhib	Time	timeRapi	-0.0515816591016781	-0.111293456601367	0.00390842528664054	0.9656	0.0344	FALSE
percInhib	Time	timeRhma	0.0633883466533353	0.0210706424471684	0.108087581943304	0.9977	0.00229999999999997	TRUE
shannon	Time	timeAnbo	-0.0129602292640504	-0.0421369902260198	0.0185240199225916	0.7931	0.2069	FALSE
shannon	Time	timeMean	0.0165038154269833	-0.00711150584986119	0.0396819369153086	0.9166	0.0834	FALSE
shannon	Time	timeOsse	0.113390142179911	0.0785535045419298	0.149976881373449	1	0	TRUE
shannon	Time	timeRaca	0.0161299747026066	-0.0156331874071736	0.0521670256008978	0.8243	0.1757	FALSE
shannon	Time	timeRapi	-0.0186559596020642	-0.0661375719307769	0.0332648327977725	0.7713	0.2287	FALSE
shannon	Time	timeRhma	-0.0153898479736997	-0.0514051742103378	0.0243268128252836	0.7904	0.2096	FALSE
disper_braycurtis	SpeciesAverage	Anbo	-0.0872808731632759	-0.199983109283176	0.032976295467183	0.9253	0.0747	FALSE
disper_braycurtis	SpeciesAverage	Osse	0.0510398098590762	-0.0789025312284647	0.183567681755244	0.7783	0.2217	FALSE
disper_braycurtis	SpeciesAverage	Raca	0.0378373594113763	-0.0798974918655394	0.158640705515071	0.7407	0.2593	FALSE
disper_braycurtis	SpeciesAverage	Rapi	0.263187611740062	0.0763374137598281	0.449217103230628	0.9967	0.00329999999999997	TRUE
disper_braycurtis	SpeciesAverage	Rhma	0.0601024430410822	-0.0850272808223702	0.19688010701051	0.8015	0.1985	FALSE
disper_unweighted_unifrac	SpeciesAverage	Anbo	-0.325648763278739	-0.402639651313315	-0.251064971135106	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Osse	-0.407721827743483	-0.496414179409192	-0.317203434150275	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Raca	-0.295543889616356	-0.373625637228772	-0.21425828071759	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rapi	-0.341784382073935	-0.469557955215846	-0.210931192443463	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rhma	-0.299092047024536	-0.39564414448699	-0.209043866072739	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Anbo	-0.405805604549571	-0.562372907085426	-0.25427820559757	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Osse	-0.430674499289919	-0.614243634720433	-0.254459484318854	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Raca	-0.250389921940857	-0.405994831846784	-0.0880295644633795	0.9987	0.00129999999999997	TRUE
disper_weighted_unifrac	SpeciesAverage	Rapi	-0.129188575535489	-0.379689673698379	0.122790306771948	0.8455	0.1545	FALSE
disper_weighted_unifrac	SpeciesAverage	Rhma	-0.375909391433833	-0.5533988161897	-0.183419313641842	1	0	TRUE
dist_braycurtis	SpeciesAverage	Anbo	-0.255429935672177	-0.571119914959055	0.0582153756673232	0.9489	0.0511	FALSE
dist_braycurtis	SpeciesAverage	Osse	0.129407223435667	-0.24115286321165	0.513966864256607	0.7474	0.2526	FALSE
dist_braycurtis	SpeciesAverage	Raca	0.322443895774963	-0.0294610608160309	0.671730729271399	0.9645	0.0355	FALSE
dist_braycurtis	SpeciesAverage	Rapi	-0.147210347307781	-0.71595398869934	0.409239634147741	0.7018	0.2982	FALSE
dist_braycurtis	SpeciesAverage	Rhma	-0.0431302655189905	-0.431149006818338	0.363882957788862	0.5864	0.4136	FALSE
dist_unweighted_unifrac	SpeciesAverage	Anbo	-0.0915873271029714	-0.250609855790805	0.0773438610341781	0.8599	0.1401	FALSE
dist_unweighted_unifrac	SpeciesAverage	Osse	0.436576508266586	0.221686802799011	0.649494429675771	0.9999	9.9999999999989e-05	TRUE
dist_unweighted_unifrac	SpeciesAverage	Raca	0.372316245783658	0.180140174260076	0.555337973531265	0.9999	9.9999999999989e-05	TRUE
dist_unweighted_unifrac	SpeciesAverage	Rapi	0.197365067874496	-0.115922601724752	0.489599700142182	0.9034	0.0966	FALSE
dist_unweighted_unifrac	SpeciesAverage	Rhma	-0.17374998164895	-0.394994979309022	0.0301041923283271	0.9473	0.0527	FALSE
dist_weighted_unifrac	SpeciesAverage	Anbo	-1.16000117185818	-1.45875761228806	-0.878973383965344	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Osse	-1.15257354489039	-1.49698703496092	-0.804262439404137	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Raca	-0.663511170133362	-0.9487970338017	-0.350700917061361	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Rapi	-1.09608012253242	-1.62155006844456	-0.596610026228944	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Rhma	-1.02375489242394	-1.37486529829844	-0.674211622151024	1	0	TRUE
inhibRich	SpeciesAverage	Anbo	10.7182546720817	9.51646128840093	11.9966200996602	1	0	TRUE
inhibRich	SpeciesAverage	Osse	16.0449730746525	14.3534133847097	17.7317059284316	1	0	TRUE
inhibRich	SpeciesAverage	Raca	9.18470137081308	7.82589309518884	10.5318704216185	1	0	TRUE
inhibRich	SpeciesAverage	Rapi	12.2515921991241	10.1466947013131	14.6798080128241	1	0	TRUE
inhibRich	SpeciesAverage	Rhma	12.2369255300167	10.573535897051	13.9212565672566	1	0	TRUE
observed_otus	SpeciesAverage	Anbo	4.26706373049006	4.13682703554575	4.39720266325496	1	0	TRUE
observed_otus	SpeciesAverage	Osse	4.26516990806218	4.11118240311031	4.40385175527269	1	0	TRUE
observed_otus	SpeciesAverage	Raca	4.68238702696931	4.54743669272025	4.81669668266183	1	0	TRUE
observed_otus	SpeciesAverage	Rapi	4.28805598042162	4.07532892001677	4.49598086588612	1	0	TRUE
observed_otus	SpeciesAverage	Rhma	4.9254760364622	4.76767152062462	5.07772754854702	1	0	TRUE
percInhib	SpeciesAverage	Anbo	-0.0862812201595795	-0.440748664105033	0.26482854844517	0.682	0.318	FALSE
percInhib	SpeciesAverage	Osse	0.738574129447235	0.330858227387353	1.15535635122884	0.9998	0.000199999999999978	TRUE
percInhib	SpeciesAverage	Raca	-1.51359499989922	-1.89274173277955	-1.13333467522384	1	0	TRUE
percInhib	SpeciesAverage	Rapi	-0.328605242712766	-0.915524316321787	0.239132254032923	0.8769	0.1231	FALSE
percInhib	SpeciesAverage	Rhma	-1.64126366179793	-2.08991778778381	-1.16387103548417	1	0	TRUE
shannon	SpeciesAverage	Anbo	3.68457782465225	3.38867520169854	3.96872030908181	1	0	TRUE
shannon	SpeciesAverage	Osse	3.19322398778271	2.86760637114702	3.5362505481526	1	0	TRUE
shannon	SpeciesAverage	Raca	3.92943672484226	3.62877510014186	4.23283637571074	1	0	TRUE
shannon	SpeciesAverage	Rapi	3.34582595389741	2.89689636717131	3.82005265975247	1	0	TRUE
shannon	SpeciesAverage	Rhma	4.39524921146188	4.04058061690585	4.75087392730371	1	0	TRUE
disper_braycurtis	ExperimentalEffects	diffConTreat	0.0825170730403409	-0.0123579027057467	0.179693659119557	0.9526	0.0474	FALSE
disper_braycurtis	ExperimentalEffects	effExposure	0.0937093796487245	0.00987069181048182	0.179780894650855	0.9865	0.0135	TRUE
disper_braycurtis	ExperimentalEffects	effLiquid	0.112865088578208	0.020871511768238	0.206732031275787	0.9912	0.00880000000000003	TRUE
disper_braycurtis	ExperimentalEffects	effLoad	-0.0104228901197143	-0.0500818424263694	0.0282500841996316	0.7036	0.2964	FALSE
disper_braycurtis	ExperimentalEffects	effPABD	0.0963100926175984	-0.0508677993820689	0.244975495943514	0.894	0.106	FALSE
disper_braycurtis	ExperimentalEffects	speciesMean	0.0652107688572691	-0.0162442204332036	0.140375290791896	0.9491	0.0508999999999999	FALSE
disper_unweighted_unifrac	ExperimentalEffects	diffConTreat	0.0199869381751871	-0.0416869443346784	0.0810690839461936	0.7377	0.2623	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effExposure	0.0138461519276424	-0.035471411001414	0.0633999775790701	0.7092	0.2908	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effLiquid	0.0529571728050928	-0.0189396439959437	0.124762263124114	0.9202	0.0798	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effLoad	0.00279463430657368	-0.026161427361373	0.0321223921669972	0.5765	0.4235	FALSE
disper_unweighted_unifrac	ExperimentalEffects	effPABD	-0.0081817810200513	-0.12297762615594	0.106655943985152	0.5587	0.4413	FALSE
disper_unweighted_unifrac	ExperimentalEffects	speciesMean	-0.333616047910379	-0.385643914468704	-0.283427596596665	1	0	TRUE
disper_weighted_unifrac	ExperimentalEffects	diffConTreat	0.0865191202411478	-0.0413285559845012	0.208758933011372	0.9159	0.0841	FALSE
disper_weighted_unifrac	ExperimentalEffects	effExposure	0.0424063860853655	-0.0581843460568097	0.145908901634271	0.7993	0.2007	FALSE
disper_weighted_unifrac	ExperimentalEffects	effLiquid	0.0829945619009526	-0.0599087689937705	0.218544946035574	0.8761	0.1239	FALSE
disper_weighted_unifrac	ExperimentalEffects	effLoad	0.0187944496186093	-0.0401415147374097	0.0736643261046248	0.7392	0.2608	FALSE
disper_weighted_unifrac	ExperimentalEffects	effPABD	0.0518592402911488	-0.149801308250975	0.285242012895042	0.6754	0.3246	FALSE
disper_weighted_unifrac	ExperimentalEffects	speciesMean	-0.318610001730787	-0.426325951346035	-0.219309373841577	1	0	TRUE
dist_braycurtis	ExperimentalEffects	diffConTreat	0.118788358729727	-0.1391295753169	0.373167371047222	0.8223	0.1777	FALSE
dist_braycurtis	ExperimentalEffects	effExposure	0.00511896786582197	-0.214670425976231	0.219687497009586	0.5204	0.4796	FALSE
dist_braycurtis	ExperimentalEffects	effLiquid	-0.228006131147471	-0.465966859166876	0.0175206516256924	0.9692	0.0308	FALSE
dist_braycurtis	ExperimentalEffects	effLoad	-0.0429583736607707	-0.144914646189259	0.055734290741864	0.805	0.195	FALSE
dist_braycurtis	ExperimentalEffects	effPABD	-0.00280614609048502	-0.38623120311871	0.373004219956588	0.5055	0.4945	FALSE
dist_braycurtis	ExperimentalEffects	speciesMean	0.000461313721246226	-0.219553168032012	0.222877598435681	0.502	0.498	FALSE
dist_unweighted_unifrac	ExperimentalEffects	diffConTreat	0.0401678263701066	-0.0917360047904214	0.174980754576022	0.7194	0.2806	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effExposure	0.0578899943083822	-0.0428508815567367	0.159120220151427	0.8676	0.1324	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effLiquid	-0.00187917105920427	-0.148467468753779	0.151484968782239	0.5099	0.4901	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effLoad	0.00420290789798922	-0.05298539838311	0.05800560573853	0.5603	0.4397	FALSE
dist_unweighted_unifrac	ExperimentalEffects	effPABD	-0.018547251949919	-0.238193091746193	0.198865083415044	0.5629	0.4371	FALSE
dist_unweighted_unifrac	ExperimentalEffects	speciesMean	0.147686803899207	0.0348793706743832	0.266344908453905	0.9936	0.00639999999999996	TRUE
dist_weighted_unifrac	ExperimentalEffects	diffConTreat	0.142750371387447	-0.0967569280531475	0.38003084219271	0.8854	0.1146	FALSE
dist_weighted_unifrac	ExperimentalEffects	effExposure	-0.00313151254122856	-0.212830101033564	0.203220862942848	0.5131	0.4869	FALSE
dist_weighted_unifrac	ExperimentalEffects	effLiquid	-0.112079403139626	-0.321639234345167	0.104216154228366	0.8478	0.1522	FALSE
dist_weighted_unifrac	ExperimentalEffects	effLoad	-0.0415875689456788	-0.123531064929565	0.0447638401178128	0.8282	0.1718	FALSE
dist_weighted_unifrac	ExperimentalEffects	effPABD	0.0766189660324023	-0.233709473002764	0.4187722734151	0.6748	0.3252	FALSE
dist_weighted_unifrac	ExperimentalEffects	speciesMean	-1.01990525784366	-1.22002641084615	-0.825373439141569	1	0	TRUE
inhibRich	ExperimentalEffects	diffConTreat	-0.418738725798842	-1.53506157043054	0.650902061559037	0.7697	0.2303	FALSE
inhibRich	ExperimentalEffects	effExposure	-0.499939683031932	-1.35622198921972	0.416954926673957	0.8618	0.1382	FALSE
inhibRich	ExperimentalEffects	effLiquid	0.607457123700612	-0.609482693261738	1.87259024446086	0.8254	0.1746	FALSE
inhibRich	ExperimentalEffects	effLoad	-0.274112736192321	-0.63307272027333	0.217060716603758	0.8743	0.1257	FALSE
inhibRich	ExperimentalEffects	effPABD	0.00525000643387835	-1.8115080881975	1.78726743708454	0.5022	0.4978	FALSE
inhibRich	ExperimentalEffects	speciesMean	12.0964173428848	11.186363679983	12.9975400344187	1	0	TRUE
observed_otus	ExperimentalEffects	diffConTreat	-0.0380943885466055	-0.146399411986887	0.0676872642217846	0.763	0.237	FALSE
observed_otus	ExperimentalEffects	effExposure	-0.110520518072361	-0.202771528831487	-0.0171311221415007	0.9886	0.0114	TRUE
observed_otus	ExperimentalEffects	effLiquid	-0.135611954854772	-0.241166666337727	-0.0303838522049062	0.9949	0.00509999999999999	TRUE
observed_otus	ExperimentalEffects	effLoad	-0.0377617818196717	-0.0826065810219095	0.00339337912805788	0.9574	0.0426	FALSE
observed_otus	ExperimentalEffects	effPABD	0.146239765518288	-0.0137820402087291	0.308387306034866	0.9578	0.0422	FALSE
observed_otus	ExperimentalEffects	speciesMean	4.48509178218922	4.39732291138972	4.56820339461819	1	0	TRUE
percInhib	ExperimentalEffects	diffConTreat	0.0708008802089361	-0.230399612107288	0.369881237182454	0.6835	0.3165	FALSE
percInhib	ExperimentalEffects	effExposure	0.214167248823705	-0.0460336281086403	0.481684090704199	0.9483	0.0517	FALSE
percInhib	ExperimentalEffects	effLiquid	0.176034289398887	-0.105848570827788	0.454119637006265	0.8909	0.1091	FALSE
percInhib	ExperimentalEffects	effLoad	-0.00148644407873832	-0.110433684279677	0.117152237828892	0.5085	0.4915	FALSE
percInhib	ExperimentalEffects	effPABD	0.312277588846109	-0.129918847364263	0.733746232566899	0.9198	0.0802	FALSE
percInhib	ExperimentalEffects	speciesMean	-0.567608799072429	-0.795290691185145	-0.309288066045001	1	0	TRUE
shannon	ExperimentalEffects	diffConTreat	-0.104026058476647	-0.340761817697897	0.137954343361609	0.8045	0.1955	FALSE
shannon	ExperimentalEffects	effExposure	-0.308683695128112	-0.509895727657025	-0.10496568395596	0.9986	0.00139999999999996	TRUE
shannon	ExperimentalEffects	effLiquid	0.00920603875193782	-0.262596331429416	0.261698750318044	0.5275	0.4725	FALSE
shannon	ExperimentalEffects	effLoad	-0.0584094470338686	-0.168263951302042	0.046189417927318	0.8602	0.1398	FALSE
shannon	ExperimentalEffects	effPABD	-0.0349919198575116	-0.460667865043452	0.361321340459473	0.5634	0.4366	FALSE
shannon	ExperimentalEffects	speciesMean	3.70882691818872	3.52043704908782	3.90675931637667	1	0	TRUE
