Response	Type	Predictor	Species	median	lower95	upper95	postprob	postprobcomp	significant
dist_weighted_unifrac	Time	timeOsse	Osse	0.0109183938500612	-0.0315395886396042	0.0566039852363653	0.6843	0.3157	FALSE
dist_weighted_unifrac	Time	timeRaca	Raca	0.00510186099930607	-0.0406124150140618	0.0503083094101102	0.5916	0.4084	FALSE
dist_weighted_unifrac	Time	timeRapi	Rapi	-0.012805067129894	-0.0656957690169377	0.0410313295736198	0.6846	0.3154	FALSE
dist_weighted_unifrac	Time	timeRhma	Rhma	-0.00928986235781007	-0.0510698141119766	0.0300050753824279	0.6722	0.3278	FALSE
inhibRich	Time	timeAnbo	Anbo	-0.275910102293757	-0.416747885831491	-0.119812078193747	1	0	TRUE
inhibRich	Time	timeMean	Mean	-0.120164675181044	-0.215038574947028	-0.0225706404291894	0.9924	0.00760000000000005	TRUE
inhibRich	Time	timeOsse	Osse	-0.442308046044635	-0.666367075651214	-0.230881490716277	0.9999	9.9999999999989e-05	TRUE
inhibRich	Time	timeRaca	Raca	0.293803795890081	0.0836113535272185	0.517546546343811	0.995	0.005	TRUE
inhibRich	Time	timeRapi	Rapi	-0.151314956805988	-0.424445389224744	0.116031177327701	0.8625	0.1375	FALSE
inhibRich	Time	timeRhma	Rhma	-0.0281270434596095	-0.239697669230703	0.165936413099777	0.6078	0.3922	FALSE
observed_otus	Time	timeAnbo	Anbo	-0.0041437294747832	-0.0173057521811881	0.0100408070772341	0.7262	0.2738	FALSE
observed_otus	Time	timeMean	Mean	0.0140988222367336	0.00661461271607317	0.0222590607990531	0.9996	0.000399999999999956	TRUE
observed_otus	Time	timeOsse	Osse	0.0437192411140179	0.0261298504492715	0.0610891540678724	1	0	TRUE
observed_otus	Time	timeRaca	Raca	0.0107907721061828	-0.00689774424892356	0.0285021031299883	0.8872	0.1128	FALSE
observed_otus	Time	timeRapi	Rapi	0.0199989887392572	-0.00162260998847608	0.0401274093354948	0.9677	0.0323	FALSE
observed_otus	Time	timeRhma	Rhma	2.28532927146296e-05	-0.0167480616488888	0.0155763327685684	0.5019	0.4981	FALSE
percInhib	Time	timeAnbo	Anbo	-0.0256051439307948	-0.0624771342210028	0.0089081223632867	0.9196	0.0804	FALSE
percInhib	Time	timeMean	Mean	-0.0223029254970483	-0.0453102978971932	-0.0012382149837427	0.9771	0.0229	TRUE
percInhib	Time	timeOsse	Osse	-0.156953214326986	-0.211252678460804	-0.100349664912853	1	0	TRUE
percInhib	Time	timeRaca	Raca	0.0600827863033685	0.0064599167286214	0.113145703585577	0.9867	0.0133	TRUE
percInhib	Time	timeRapi	Rapi	-0.0581369457258992	-0.114184032356659	0.00122387918670158	0.9785	0.0215	TRUE
percInhib	Time	timeRhma	Rhma	0.0696998304857842	0.0234319605752873	0.116791953523118	0.9987	0.00129999999999997	TRUE
shannon	Time	timeAnbo	Anbo	-0.0132636933332424	-0.0445328102253438	0.0184273911754731	0.8	0.2	FALSE
shannon	Time	timeMean	Mean	0.026269110476043	0.00800086218939264	0.043526848300019	0.9977	0.00229999999999997	TRUE
shannon	Time	timeOsse	Osse	0.132532102906172	0.0920185802457825	0.174463409582345	1	0	TRUE
shannon	Time	timeRaca	Raca	0.0334498989520851	-0.00593434226745126	0.0742455602753361	0.9525	0.0475	FALSE
shannon	Time	timeRapi	Rapi	-0.0305497238299638	-0.0822124441162069	0.0164800415650114	0.887	0.113	FALSE
shannon	Time	timeRhma	Rhma	0.00905740472406233	-0.0283467575759772	0.0445840656643247	0.6879	0.3121	FALSE
disper_braycurtis	SpeciesAverage	Anbo	Anbo	-0.0375617729926903	-0.139318376318205	0.064435465834655	0.7652	0.2348	FALSE
disper_braycurtis	SpeciesAverage	Mean	Mean	0.0696266710025466	0.0111322416757387	0.130111709254021	0.9894	0.0106000000000001	TRUE
disper_braycurtis	SpeciesAverage	Osse	Osse	0.0329874760924002	-0.0998106151044905	0.159443279742671	0.6915	0.3085	FALSE
disper_braycurtis	SpeciesAverage	Raca	Raca	0.0309206933492823	-0.0746595036030271	0.137505532515527	0.7126	0.2874	FALSE
disper_braycurtis	SpeciesAverage	Rapi	Rapi	0.254347157844146	0.0806789781734987	0.435286603318517	0.9977	0.00229999999999997	TRUE
disper_braycurtis	SpeciesAverage	Rhma	Rhma	0.0672252004157944	-0.0683231658795955	0.199381282659643	0.8415	0.1585	FALSE
disper_unweighted_unifrac	SpeciesAverage	Anbo	Anbo	-0.311197858690987	-0.383431940641704	-0.239099238993687	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Mean	Mean	-0.331604963523357	-0.372203382313344	-0.289848414498577	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Osse	Osse	-0.399926592644097	-0.492121091946803	-0.30854084370746	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Raca	Raca	-0.29567014948008	-0.374117473615269	-0.220642093661014	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rapi	Rapi	-0.345032628228721	-0.47028504807678	-0.219247575278976	1	0	TRUE
disper_unweighted_unifrac	SpeciesAverage	Rhma	Rhma	-0.306830382090163	-0.400051161481122	-0.215773567980372	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Anbo	Anbo	-0.406650084017077	-0.561727174515767	-0.262346722750246	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Mean	Mean	-0.284511177742031	-0.371937060707076	-0.195002667724142	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Osse	Osse	-0.456674191259923	-0.654100207201443	-0.268034243531741	1	0	TRUE
disper_weighted_unifrac	SpeciesAverage	Raca	Raca	-0.198728202751864	-0.36879297696827	-0.0404929299881526	0.9911	0.00890000000000002	TRUE
disper_weighted_unifrac	SpeciesAverage	Rapi	Rapi	-0.0617725703658795	-0.339265406022475	0.207898896256298	0.6751	0.3249	FALSE
disper_weighted_unifrac	SpeciesAverage	Rhma	Rhma	-0.296671429584713	-0.491932759225871	-0.10070387215935	0.9982	0.00180000000000002	TRUE
dist_braycurtis	SpeciesAverage	Anbo	Anbo	-0.0482954461472038	-0.324792732941935	0.237818477784941	0.6241	0.3759	FALSE
dist_braycurtis	SpeciesAverage	Mean	Mean	0.163633589182701	-0.00775125597394634	0.346417503089628	0.9653	0.0347	FALSE
dist_braycurtis	SpeciesAverage	Osse	Osse	0.272271822137479	-0.128697911291238	0.656429813383155	0.9094	0.0906	FALSE
dist_braycurtis	SpeciesAverage	Raca	Raca	0.526355296210281	0.19654167754031	0.853592566284607	0.9989	0.00109999999999999	TRUE
dist_braycurtis	SpeciesAverage	Rapi	Rapi	0.0644968975868983	-0.471544880212111	0.594880601931517	0.5966	0.4034	FALSE
dist_braycurtis	SpeciesAverage	Rhma	Rhma	-0.00244042888548834	-0.368386069772309	0.381041086106412	0.5049	0.4951	FALSE
dist_unweighted_unifrac	SpeciesAverage	Anbo	Anbo	-0.014882967209794	-0.188731694175362	0.150895021620904	0.568	0.432	FALSE
dist_unweighted_unifrac	SpeciesAverage	Mean	Mean	0.198569840241441	0.0980378185926137	0.301786304488513	0.9998	0.000199999999999978	TRUE
dist_unweighted_unifrac	SpeciesAverage	Osse	Osse	0.548477197901186	0.305458060845056	0.796438086975169	1	0	TRUE
dist_unweighted_unifrac	SpeciesAverage	Raca	Raca	0.386370891291797	0.192986351691274	0.572815716200568	0.9999	9.9999999999989e-05	TRUE
dist_unweighted_unifrac	SpeciesAverage	Rapi	Rapi	0.220727404522611	-0.0946415348467457	0.517180209025879	0.9205	0.0795	FALSE
dist_unweighted_unifrac	SpeciesAverage	Rhma	Rhma	-0.144505723641095	-0.364581945104458	0.087254082805086	0.8946	0.1054	FALSE
dist_weighted_unifrac	SpeciesAverage	Anbo	Anbo	-0.993056229605994	-1.27451210077019	-0.742636830106564	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Mean	Mean	-0.922074509695828	-1.07783664985899	-0.754379891540352	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Osse	Osse	-1.08234285602031	-1.44859884897192	-0.707906746728516	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Raca	Raca	-0.581877655079273	-0.866649142045628	-0.279616327243136	0.9998	0.000199999999999978	TRUE
dist_weighted_unifrac	SpeciesAverage	Rapi	Rapi	-0.962466727103527	-1.45499064444186	-0.459842948581551	1	0	TRUE
dist_weighted_unifrac	SpeciesAverage	Rhma	Rhma	-0.983029049445944	-1.33770544351234	-0.625077895055566	1	0	TRUE
inhibRich	SpeciesAverage	Anbo	Anbo	11.0611257967621	9.83744006493121	12.3579582535746	1	0	TRUE
inhibRich	SpeciesAverage	Mean	Mean	12.059102778421	11.2755239343957	12.8384534289361	1	0	TRUE
inhibRich	SpeciesAverage	Osse	Osse	16.2923162397394	14.4412176942822	18.0599973862168	1	0	TRUE
inhibRich	SpeciesAverage	Raca	Raca	8.81572106756574	7.48970982293547	10.2102638353193	1	0	TRUE
inhibRich	SpeciesAverage	Rapi	Rapi	12.3015346117075	9.83918876482552	14.7486962320972	1	0	TRUE
inhibRich	SpeciesAverage	Rhma	Rhma	11.7983472282218	10.0036571588653	13.5740736264304	1	0	TRUE
observed_otus	SpeciesAverage	Anbo	Anbo	4.29059940183698	4.17928353148312	4.40470324419586	1	0	TRUE
observed_otus	SpeciesAverage	Mean	Mean	4.4751055944963	4.41265359459531	4.5409146996687	1	0	TRUE
observed_otus	SpeciesAverage	Osse	Osse	4.22682361472718	4.08789344005623	4.36242342437995	1	0	TRUE
observed_otus	SpeciesAverage	Raca	Raca	4.69848562403926	4.58543528799445	4.82150473064338	1	0	TRUE
observed_otus	SpeciesAverage	Rapi	Rapi	4.24074962657117	4.04943448847127	4.44407171402055	1	0	TRUE
observed_otus	SpeciesAverage	Rhma	Rhma	4.91815265514288	4.77311787577181	5.06751228561056	1	0	TRUE
percInhib	SpeciesAverage	Anbo	Anbo	-0.198942007835163	-0.557798932563464	0.133393650109465	0.8723	0.1277	FALSE
percInhib	SpeciesAverage	Mean	Mean	-0.538471558951928	-0.745952615535527	-0.33490236015631	1	0	TRUE
percInhib	SpeciesAverage	Osse	Osse	0.851491809697732	0.421994101735059	1.27844974969453	0.9999	9.9999999999989e-05	TRUE
percInhib	SpeciesAverage	Raca	Raca	-1.52090841327401	-1.92041430499601	-1.13676966150099	1	0	TRUE
percInhib	SpeciesAverage	Rapi	Rapi	-0.197941693938166	-0.836130407464473	0.402598750296006	0.7386	0.2614	FALSE
percInhib	SpeciesAverage	Rhma	Rhma	-1.62446473989975	-2.1232439683773	-1.1370594278727	1	0	TRUE
shannon	SpeciesAverage	Anbo	Anbo	3.67703292813678	3.42201446902619	3.92240015588233	1	0	TRUE
shannon	SpeciesAverage	Mean	Mean	3.62297691152059	3.47728801782146	3.76831808089295	1	0	TRUE
shannon	SpeciesAverage	Osse	Osse	3.00310917455104	2.69312314960904	3.3160004669063	1	0	TRUE
shannon	SpeciesAverage	Raca	Raca	3.752878619524	3.49574182067588	4.0188394705175	1	0	TRUE
shannon	SpeciesAverage	Rapi	Rapi	3.41604763098593	2.97993722188472	3.85129431986026	1	0	TRUE
shannon	SpeciesAverage	Rhma	Rhma	4.26854684908012	3.95306365069187	4.58627162986401	1	0	TRUE
